ID_DETALLE,NOMCIENTIFICO,ALTURATOTAL,VOLUMENCOMER,DENSIDAD,ESTADO_COPA,ESTADO_FUSTE,ESTADO_RAIZ,EST_RAIZ_GEN,NIVEL_RIESGO,ESTADO_FITO,TRATAMIENTO
1466610331600,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498075,Bacharis macrantha,1.3,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1502337981716,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1475522672617,Fraxinus chinensis,15,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1523630460567,Fraxinus chinensis,8,0,Medio,Bueno,Bueno,Raices Descubiertas,Regular,Ninguna,Regular,Conservacion
1521770924524,Tecoma stans,3.5,0,Muy Ralo,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
1573739246028,Juglans neotropica,12,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Poda Radicular
1582928268914,Cupressus lusitanica,4,0,Muy Ralo,Malo,Suprimido,No apreciable,Malo,Moderada,Regular,Tala
1612750498362,Fraxinus chinensis,13,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1605291366435,Salix humboldtiana,1.75,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795292,Lafoensia acuminata,8,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761030,Eucalyptus globulus,8,0.021,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850032,Fraxinus chinensis,5.1,0,Medio,Regular,Regular,No apreciable,Regular,Ninguna,Regular,Conservacion
1664837550238,Macleania rupestris,3.9,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317414,Nageia rospigliosii,14,0,Ralo,Regular,Bueno,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1638851799197,Ficus soatensis,10,0,Denso,Bueno,Bueno,Raices estranguladoras,Bueno,Ninguna,Regular,Tratamiento Integral
1429897167728,Cotoneaster multiflora,8,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,Regular,Tala
1416261107238,Ficus soatensis,11,0,Denso,Regular,Bueno,No apreciable,Regular,Ninguna,Regular,Poda Estructural
153813,Eucalyptus globulus,19,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1424357756603,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
1425516309719,Fraxinus chinensis,15,0,Medio,Regular,Regular,Raices Descubiertas,Regular,Ninguna,Regular,Conservacion
1440191834906,Tecoma stans,1.8,0,Medio,Bueno,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1442353366342,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1455157663285,Fraxinus chinensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1466610331610,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498196,Xylosma spiculiferum,1.4,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Traslado
1502337982261,Lafoensia acuminata,9.5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1475522672627,Schinus molle,7,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1486245159086,Pinus patula,18,0.246,Ralo,Regular,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1550410186461,Ficus elastica,12,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1523630460963,Sambucus nigra,4,0,Denso,Malo,Malo,Raices Descubiertas,Malo,Moderada,Regular,Tala
1521770924531,Ficus spp,12,0,Denso,Bueno,Bueno,Raices Descubiertas,Bueno,Moderada,Regular,Poda Radicular
1573739246037,Pittosporum undulatum,7,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Poda Radicular
1582928268933,Cupressus lusitanica,4,0,Ralo,Malo,Suprimido,No apreciable,Malo,Moderada,Regular,Tala
1612750498374,Fraxinus chinensis,14,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1605291366527,Pittosporum undulatum,2.2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795088,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761061,Eucalyptus globulus,5,0.004,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850052,Fraxinus chinensis,5.5,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550247,Drimys granadensis,7.8,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317110,Fraxinus chinensis,15,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1638851799223,Ficus soatensis,9,0,Denso,Bueno,Bueno,Raices estranguladoras,Bueno,Ninguna,Regular,Tratamiento Integral
66612,Ficus benjamina,11,0,Denso,Malo,Regular,No apreciable,Bueno,Severa,,Poda Estructural
1429897167763,Pittosporum undulatum,8,0,Ralo,Regular,Malo,Raices Descubiertas,Regular,Moderada,Regular,Tala
1424357756633,Acacia decurrens,5,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
153815,Eucalyptus globulus,23,0,Ralo,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366379,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1440191834943,Cestrum spp.,1.8,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1455157663291,Fraxinus chinensis,8,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1466610336256,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498256,Xylosma spiculiferum,1.6,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Traslado
1502337981685,Lafoensia acuminata,9.5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1475522672637,Schinus molle,7,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1550410186465,Juglans neotropica,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Traslado
1523630460584,Prunus capuli,8,0,Denso,Malo,Malo,No apreciable,Regular,Ninguna,Regular,Poda Aclareo
1573739246045,Tecoma stans,6,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928268947,Cupressus lusitanica,5,0,Ralo,Malo,Regular,No apreciable,Regular,Moderada,Regular,Tala
1612750498385,Ficus benjamina,12,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1639177795325,Myrsine guianensis,2.5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1631544761053,Eucalyptus globulus,6,0.004,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850071,Cordia cylindrostachya,3.6,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550258,Drimys granadensis,7.5,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317524,Ficus soatensis,16,0,Denso,Regular,Regular,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1425516309750,Magnolia grandiflora,6,0,Ralo,Regular,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1424357756663,Acacia decurrens,6,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
153817,Eucalyptus globulus,16,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366400,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1440191834980,Tecoma stans,2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1455157663297,Fraxinus chinensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1460560685950,Ficus soatensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Poda Estructural
1466610334425,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1478774461485,Prunus capuli,10,0,Ralo,Malo,Malo,No apreciable,Regular,Severa,Regular,Tala
1511520498483,Fraxinus chinensis,6,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1502337980456,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1475522674982,Schinus molle,8,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1550410186472,Juglans neotropica,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Traslado
1523630460592,Lafoensia acuminata,2,0,Denso,Malo,Malo,No apreciable,Regular,Ninguna,Regular,Poda Estructural
1573739246059,Tecoma stans,7,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928268976,Cupressus lusitanica,6,0,Ralo,Malo,Regular,No apreciable,Regular,Moderada,Regular,Tala
1605291366996,Fraxinus chinensis,16,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795364,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761064,Eucalyptus globulus,11,0.289,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850090,Cordia cylindrostachya,3.6,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550267,Drimys granadensis,4.2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317624,Acacia melanoxylon,17,0,Denso,Regular,Malo,No apreciable,Bueno,Moderada,Regular,Tala
1425516309781,Magnolia grandiflora,7,0,Medio,Regular,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1424357756693,Acacia decurrens,6,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
153819,Eucalyptus globulus,14,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366565,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1440191835019,Cytharexylum subflavescens,6,0,Medio,Bueno,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1455157663303,Fraxinus chinensis,10,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1455728759303,Fraxinus chinensis,10,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1466610331640,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498104,Fraxinus chinensis,10,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1502337984986,Lafoensia acuminata,9.6,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Estructural
1475522672656,Fraxinus chinensis,15,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1550410186478,Juglans neotropica,6,0,Medio,Malo,Bueno,No apreciable,Bueno,Moderada,Regular,Traslado
1523630460745,Sambucus nigra,4,0,Denso,Malo,Malo,Raices Descubiertas,Malo,Moderada,Regular,Tala
1573739246068,Tecoma stans,7,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928268975,Cupressus lusitanica,5,0,Ralo,Malo,Regular,No apreciable,Regular,Moderada,Regular,Tala
1605291366776,Fraxinus chinensis,17,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795202,Lafoensia acuminata,10,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761128,Eucalyptus globulus,10,0.259,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850196,Verbesina crassiramea,4.1,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550275,Drimys granadensis,9.8,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317310,Fraxinus chinensis,15,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1425516309812,Pittosporum undulatum,8,0,Denso,Regular,Regular,Raices Descubiertas,Regular,Ninguna,Regular,Conservacion
1424357756723,Acacia decurrens,6,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
153821,Eucalyptus globulus,15,0,Denso,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366583,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1455157663309,Sambucus nigra,3.5,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1455728759309,Sambucus nigra,3.5,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1460560685957,Fraxinus chinensis,10,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Poda Equilibrio
1466610331650,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498252,Fraxinus chinensis,4,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1475522672666,Sambucus nigra,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1550410186485,Juglans neotropica,5,0,Medio,Malo,Bueno,No apreciable,Bueno,Moderada,Regular,Traslado
1573739246081,Tecoma stans,8,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928269460,Cupressus lusitanica,5,0,Ralo,Malo,Regular,No apreciable,Regular,Moderada,Regular,Poda Radicular
1605291366855,Fraxinus chinensis,19,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795362,Cotoneaster multiflora,3,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761087,Eucalyptus globulus,11,0.239,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850128,Cordia cylindrostachya,3.9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550714,Drimys granadensis,8.6,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317153,Fraxinus chinensis,17,0,Denso,Regular,Bueno,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1440191835056,Tecoma stans,5,0,Medio,Bueno,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1424357756753,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
294166,Acacia melanoxylon,13,0,Medio,Regular,Malo,Raices Descubiertas,Malo,Severa,,Tala
1440191835095,Ficus soatensis,9,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1455157663315,Ficus soatensis,13,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1460560685965,Ficus soatensis,10,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Poda Estructural
1466610334173,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498117,Xylosma spiculiferum,3,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1475522672676,Sambucus nigra,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1550410186862,Juglans neotropica,6,0,Ralo,Regular,Bueno,No apreciable,Bueno,Moderada,Regular,Traslado
1541617048133,Bacharis floribunda,2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,,Tala
1523630460889,Fraxinus chinensis,9,0,Denso,Malo,Regular,No apreciable,Regular,Ninguna,Regular,Poda Aclareo
1541548021099,Bacharis floribunda,2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1573739246114,Tecoma stans,7,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928269002,Cupressus lusitanica,4,0,Muy Ralo,Malo,Malo,No apreciable,Malo,Moderada,Regular,Tala
1605291366974,Fraxinus chinensis,15,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795241,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761102,Eucalyptus globulus,8,0.002,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1632356731720,Acacia melanoxylon,15,0,Medio,Regular,Malo,No apreciable,Bueno,Moderada,Regular,Tala
1660188850147,Billia rosea,8.9,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550293,Drimys granadensis,6.7,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317501,Pittosporum undulatum,8,0,Denso,Regular,Regular,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
153823,Eucalyptus globulus,16,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366600,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1424357756783,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
153825,Eucalyptus globulus,10,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1442353366616,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1440191835134,Sambucus nigra,4,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1455157663321,Ficus soatensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1466610331671,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498465,Fraxinus chinensis,3,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1475522672686,Sambucus nigra,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1541617048143,Fuchsia boliviana,3,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,,Tala
1523630460861,Prunus capuli,7,0,Denso,Malo,Malo,No apreciable,Regular,Moderada,Regular,Poda Aclareo
1550410186498,Schinus molle,7,0,Denso,Bueno,Regular,No apreciable,Bueno,Moderada,Regular,Tala
1541548021115,Fuchsia boliviana,3,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1573739246130,Eugenia myrtifolia,7.5,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928269016,Cupressus lusitanica,7,0,Medio,Regular,Malo,No apreciable,Regular,Moderada,Regular,Poda Radicular
1639177795265,Pittosporum undulatum,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761169,Eucalyptus globulus,6,0.015,Muy Ralo,Regular,Regular,No apreciable,Bueno,Severa,Regular,Tala
1660188850167,Erythrina rubrinervia,6.2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550303,Drimys granadensis,8,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317435,Tecoma stans,6,0,Denso,Regular,Regular,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1433535911899,Sambucus nigra,7,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Poda Equilibrio
1424357756813,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
300762,Cupressus lusitanica,11,0,Denso,Malo,Malo,No apreciable,Bueno,Severa,,Poda Estructural
1442353366632,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1455157663327,Sambucus nigra,4,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1455728759315,Sambucus nigra,4,0,Ralo,Malo,Bueno,No apreciable,Malo,Moderada,,Tala
1466610331681,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498130,Bacharis macrantha,3,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1475522672696,Sambucus nigra,4,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1541617048150,Prunus serotina,6.6,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,,Tala
1550410186505,Sambucus nigra,4,0,Denso,Bueno,Regular,No apreciable,Bueno,Moderada,Regular,Tala
1523303991948,Acacia baileyana,6,0,Medio,Bueno,Bueno,Raices Descubiertas,Bueno,Moderada,Regular,Tala
1541548021122,Prunus serotina,6.6,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1573739246141,Eugenia myrtifolia,7.5,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928269291,Cupressus lusitanica,5,0,Muy Ralo,Malo,Malo,No apreciable,Regular,Moderada,Regular,Tala
1605291367144,Fraxinus chinensis,12,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795382,Lafoensia acuminata,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1631544761593,Cupressus lusitanica,15,0.367,Muy Ralo,Regular,Regular,Raices Descubiertas,Regular,Severa,Regular,Tala
1660188850187,Erythrina rubrinervia,7.1,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1664837550313,Drimys granadensis,9.7,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1639676317647,Tecoma stans,6,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
153827,Paraserianthes lophanta,5,0,Denso,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1440191835171,Sambucus nigra,4,0,Medio,Regular,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1424357756843,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
79356,Ficus benjamina,8,0,Medio,Bueno,Bueno,No apreciable,Bueno,Severa,,Tala
1442353366648,Cupressus lusitanica,9.12,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Tala
1455157663333,Croton bogotensis,0.6,0,Medio,Regular,Bueno,No apreciable,Bueno,Moderada,,Tratamiento Integral
1466610334346,Eugenia myrtifolia,5,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
1511520498384,Cotoneaster multiflora,2.5,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,,Conservacion
1475522672707,Fraxinus chinensis,20,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Saneamiento
1541617048430,Sambucus nigra,3,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,,Tala
1550410186939,Ficus benjamina,5,0,Denso,Bueno,Regular,Raices Descubiertas,Regular,Moderada,Regular,Tala
1523303992109,Acacia baileyana,4,0,Medio,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1541548021241,Sambucus nigra,3,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Tala
1573739246461,Eugenia myrtifolia,6,0,Denso,Bueno,Bueno,Poda Raiz Tecnica,Bueno,Ninguna,Regular,Conservacion
1582928269045,Cupressus lusitanica,7,0,Ralo,Regular,Malo,No apreciable,Regular,Moderada,Regular,Tala
1605291367291,Fraxinus chinensis,5,0,Medio,Regular,Bueno,No apreciable,Bueno,Ninguna,Regular,Tratamiento Integral
1639177795259,Cytharexylum subflavescens,9,0,Denso,Bueno,Bueno,No apreciable,Bueno,Moderada,Regular,Poda Realce
1660188850206,Acacia melanoxylon,11,0,Denso,Bueno,Bueno,No apreciable,Bueno,Ninguna,Regular,Conservacion
1639676317257,Tecoma stans,7,0,Medio,Regular,Regular,No apreciable,Bueno,Moderada,Regular,Tratamiento Integral
1664837550322,Drimys granadensis,11.2,0,Medio,Bueno,Bueno,No apreciable,Bueno,Ninguna,,Conservacion
153829,Eucalyptus globulus,13,0,Medio,Regular,Regular,No apreciable,Regular,Moderada,,Tala
1440191835208,Sambucus nigra,4,0,Medio,Regular,Regular,No apreciable,Bueno,Ninguna,Regular,Conservacion
1424357756870,Acacia decurrens,7,0,Denso,Malo,Malo,No apreciable,Bueno,Moderada,Regular,Tala
